Size,TimeMicroseconds,Threshold
10000,1343,10
500,53,10
600,61,10
700,91,10
800,107,10
900,105,10
1000,115,10
1100,126,10
1200,172,10
1300,160,10
1400,220,10
1500,211,10
1600,247,10
1700,232,10
1800,233,10
1900,243,10
2000,255,10
2100,324,10
2200,291,10
2300,341,10
2400,345,10
2500,332,10
2600,373,10
2700,426,10
2800,416,10
2900,483,10
3000,440,10
3100,471,10
3200,548,10
3300,492,10
3400,480,10
3500,492,10
3600,495,10
3700,515,10
3800,526,10
3900,536,10
4000,551,10
4100,569,10
4200,570,10
4300,608,10
4400,604,10
4500,530,10
4600,499,10
4700,631,10
4800,742,10
4900,657,10
5000,686,10
5100,667,10
5200,713,10
5300,756,10
5400,783,10
5500,838,10
5600,870,10
5700,886,10
5800,1298,10
5900,921,10
6000,1303,10
6100,1090,10
6200,962,10
6300,1395,10
6400,982,10
6500,980,10
6600,1004,10
6700,1013,10
6800,1048,10
6900,1068,10
7000,879,10
7100,1049,10
7200,1049,10
7300,1079,10
7400,1093,10
7500,1094,10
7600,1107,10
7700,1488,10
7800,1142,10
7900,1142,10
8000,1170,10
8100,1657,10
8200,1175,10
8300,1199,10
8400,1572,10
8500,1210,10
8600,1228,10
8700,1252,10
8800,1266,10
8900,1282,10
9000,1272,10
9100,1481,10
9200,1301,10
9300,1336,10
9400,1541,10
9500,1305,10
9600,1820,10
9700,1613,10
9800,1620,10
9900,1604,10
10000,1373,10
