Size,TimeMicroseconds,Threshold
10000,1895,20
500,64,20
600,75,20
700,95,20
800,101,20
900,131,20
1000,136,20
1100,156,20
1200,152,20
1300,186,20
1400,221,20
1500,225,20
1600,319,20
1700,256,20
1800,278,20
1900,293,20
2000,307,20
2100,323,20
2200,412,20
2300,392,20
2400,351,20
2500,385,20
2600,415,20
2700,550,20
2800,505,20
2900,501,20
3000,523,20
3100,548,20
3200,557,20
3300,462,20
3400,575,20
3500,595,20
3600,607,20
3700,759,20
3800,630,20
3900,725,20
4000,675,20
4100,690,20
4200,703,20
4300,724,20
4400,740,20
4500,752,20
4600,779,20
4700,824,20
4800,830,20
4900,833,20
5000,853,20
5100,884,20
5200,913,20
5300,953,20
5400,1006,20
5500,1014,20
5600,1030,20
5700,1043,20
5800,1061,20
5900,1077,20
6000,1093,20
6100,1120,20
6200,1356,20
6300,1145,20
6400,1160,20
6500,1188,20
6600,1198,20
6700,1218,20
6800,1239,20
6900,1484,20
7000,1277,20
7100,1291,20
7200,1642,20
7300,1333,20
7400,1377,20
7500,1410,20
7600,1389,20
7700,1399,20
7800,1822,20
7900,1406,20
8000,1473,20
8100,1369,20
8200,1538,20
8300,1405,20
8400,1535,20
8500,1579,20
8600,1569,20
8700,1607,20
8800,1619,20
8900,1641,20
9000,1883,20
9100,1672,20
9200,1683,20
9300,1725,20
9400,1611,20
9500,1704,20
9600,1691,20
9700,1787,20
9800,1795,20
9900,2165,20
10000,1844,20
