Size,TimeMicroseconds,Threshold
10000,1227,30
500,42,30
600,52,30
700,60,30
800,58,30
900,75,30
1000,98,30
1100,102,30
1200,114,30
1300,130,30
1400,132,30
1500,138,30
1600,145,30
1700,156,30
1800,164,30
1900,172,30
2000,207,30
2100,309,30
2200,234,30
2300,236,30
2400,267,30
2500,276,30
2600,271,30
2700,271,30
2800,285,30
2900,304,30
3000,305,30
3100,319,30
3200,264,30
3300,338,30
3400,343,30
3500,364,30
3600,368,30
3700,376,30
3800,557,30
3900,413,30
4000,448,30
4100,462,30
4200,470,30
4300,483,30
4400,496,30
4500,512,30
4600,417,30
4700,523,30
4800,540,30
4900,547,30
5000,561,30
5100,577,30
5200,673,30
5300,603,30
5400,602,30
5500,613,30
5600,634,30
5700,630,30
5800,648,30
5900,668,30
6000,666,30
6100,690,30
6200,688,30
6300,711,30
6400,710,30
6500,725,30
6600,742,30
6700,753,30
6800,611,30
6900,778,30
7000,783,30
7100,789,30
7200,794,30
7300,809,30
7400,830,30
7500,829,30
7600,853,30
7700,863,30
7800,838,30
7900,964,30
8000,987,30
8100,1014,30
8200,1237,30
8300,1030,30
8400,1041,30
8500,1062,30
8600,1053,30
8700,1069,30
8800,1104,30
8900,995,30
9000,1115,30
9100,1118,30
9200,1124,30
9300,1174,30
9400,1166,30
9500,1160,30
9600,1175,30
9700,1199,30
9800,1365,30
9900,1392,30
10000,1397,30
