Size,TimeMicroseconds,Threshold
10000,4279,50
500,161,50
600,183,50
700,262,50
800,216,50
900,376,50
1000,314,50
1100,422,50
1200,379,50
1300,416,50
1400,534,50
1500,473,50
1600,729,50
1700,811,50
1800,566,50
1900,597,50
2000,634,50
2100,665,50
2200,725,50
2300,824,50
2400,622,50
2500,806,50
2600,838,50
2700,1092,50
2800,1254,50
2900,926,50
3000,976,50
3100,1358,50
3200,1263,50
3300,1353,50
3400,1343,50
3500,1151,50
3600,1174,50
3700,1181,50
3800,1231,50
3900,1261,50
4000,1293,50
4100,1270,50
4200,1364,50
4300,1909,50
4400,1441,50
4500,1468,50
4600,1448,50
4700,1504,50
4800,1501,50
4900,1549,50
5000,1986,50
5100,1690,50
5200,1572,50
5300,1710,50
5400,1783,50
5500,2513,50
5600,1804,50
5700,1859,50
5800,1880,50
5900,1971,50
6000,1920,50
6100,2643,50
6200,2014,50
6300,2513,50
6400,1991,50
6500,2160,50
6600,2175,50
6700,2224,50
6800,2230,50
6900,2123,50
7000,2230,50
7100,2150,50
7200,2117,50
7300,2168,50
7400,2977,50
7500,2191,50
7600,3128,50
7700,2255,50
7800,2437,50
7900,2428,50
8000,2395,50
8100,2668,50
8200,2637,50
8300,2375,50
8400,2719,50
8500,2693,50
8600,2557,50
8700,3413,50
8800,2876,50
8900,3499,50
9000,2898,50
9100,3266,50
9200,2717,50
9300,3977,50
9400,2883,50
9500,2875,50
9600,2965,50
9700,2967,50
9800,2972,50
9900,3158,50
10000,3195,50
