Size,TimeMicroseconds,Threshold
10000,2947,10
500,150,10
600,181,10
700,218,10
800,251,10
900,277,10
1000,310,10
1100,347,10
1200,470,10
1300,483,10
1400,441,10
1500,592,10
1600,512,10
1700,550,10
1800,569,10
1900,905,10
2000,638,10
2100,8568,10
2200,699,10
2300,754,10
2400,930,10
2500,800,10
2600,1123,10
2700,807,10
2800,903,10
2900,978,10
3000,1036,10
3100,1216,10
3200,1043,10
3300,1068,10
3400,1104,10
3500,1602,10
3600,1169,10
3700,1816,10
3800,1497,10
3900,1265,10
4000,1304,10
4100,1358,10
4200,1370,10
4300,1358,10
4400,1346,10
4500,1800,10
4600,1503,10
4700,1534,10
4800,1577,10
4900,2217,10
5000,1649,10
5100,1664,10
5200,2088,10
5300,1586,10
5400,1594,10
5500,1811,10
5600,1841,10
5700,1726,10
5800,1879,10
5900,2385,10
6000,1992,10
6100,2030,10
6200,1951,10
6300,2050,10
6400,2825,10
6500,2185,10
6600,2160,10
6700,2081,10
6800,1972,10
6900,2281,10
7000,2199,10
7100,2262,10
7200,2324,10
7300,2285,10
7400,3010,10
7500,2425,10
7600,2490,10
7700,2503,10
7800,3358,10
7900,2630,10
8000,2653,10
8100,2425,10
8200,2518,10
8300,3608,10
8400,3865,10
8500,2644,10
8600,2781,10
8700,2639,10
8800,2851,10
8900,2762,10
9000,2878,10
9100,2788,10
9200,3008,10
9300,2845,10
9400,2795,10
9500,3899,10
9600,2795,10
9700,2972,10
9800,4072,10
9900,2910,10
10000,3030,10
