Size,TimeMicroseconds,Threshold
10000,1287,20
500,48,20
600,60,20
700,70,20
800,122,20
900,131,20
1000,103,20
1100,113,20
1200,127,20
1300,140,20
1400,147,20
1500,156,20
1600,132,20
1700,175,20
1800,186,20
1900,201,20
2000,328,20
2100,227,20
2200,242,20
2300,260,20
2400,272,20
2500,282,20
2600,354,20
2700,397,20
2800,308,20
2900,327,20
3000,346,20
3100,343,20
3200,537,20
3300,529,20
3400,377,20
3500,600,20
3600,618,20
3700,418,20
3800,424,20
3900,440,20
4000,457,20
4100,557,20
4200,618,20
4300,759,20
4400,510,20
4500,812,20
4600,783,20
4700,551,20
4800,569,20
4900,582,20
5000,598,20
5100,612,20
5200,620,20
5300,628,20
5400,953,20
5500,639,20
5600,652,20
5700,663,20
5800,674,20
5900,687,20
6000,704,20
6100,713,20
6200,719,20
6300,731,20
6400,741,20
6500,759,20
6600,787,20
6700,782,20
6800,797,20
6900,990,20
7000,818,20
7100,830,20
7200,872,20
7300,920,20
7400,888,20
7500,892,20
7600,897,20
7700,1343,20
7800,1251,20
7900,948,20
8000,963,20
8100,988,20
8200,1029,20
8300,1017,20
8400,1003,20
8500,1033,20
8600,1042,20
8700,1048,20
8800,872,20
8900,1088,20
9000,1114,20
9100,1124,20
9200,1142,20
9300,1157,20
9400,1754,20
9500,1180,20
9600,1195,20
9700,1191,20
9800,1224,20
9900,1242,20
10000,1259,20
