Size,TimeMicroseconds,Threshold
10000,4265,20
500,169,20
600,206,20
700,245,20
800,276,20
900,309,20
1000,353,20
1100,589,20
1200,421,20
1300,460,20
1400,497,20
1500,535,20
1600,566,20
1700,613,20
1800,638,20
1900,678,20
2000,761,20
2100,893,20
2200,797,20
2300,833,20
2400,883,20
2500,925,20
2600,1108,20
2700,1165,20
2800,1170,20
2900,861,20
3000,1252,20
3100,1335,20
3200,1279,20
3300,1462,20
3400,1257,20
3500,1792,20
3600,1338,20
3700,1588,20
3800,1366,20
3900,1388,20
4000,1896,20
4100,1453,20
4200,1520,20
4300,2294,20
4400,1327,20
4500,1657,20
4600,1743,20
4700,1791,20
4800,1786,20
4900,1708,20
5000,1964,20
5100,1922,20
5200,1887,20
5300,1944,20
5400,2388,20
5500,2080,20
5600,2071,20
5700,2065,20
5800,2139,20
5900,2084,20
6000,2108,20
6100,3079,20
6200,2955,20
6300,2220,20
6400,2417,20
6500,2329,20
6600,2370,20
6700,2368,20
6800,2378,20
6900,3283,20
7000,2488,20
7100,3368,20
7200,2511,20
7300,3343,20
7400,3730,20
7500,3551,20
7600,2822,20
7700,3419,20
7800,2718,20
7900,2897,20
8000,2808,20
8100,3783,20
8200,2738,20
8300,2886,20
8400,3068,20
8500,4029,20
8600,2863,20
8700,3152,20
8800,3076,20
8900,4019,20
9000,3223,20
9100,3297,20
9200,3213,20
9300,4780,20
9400,4272,20
9500,3456,20
9600,4609,20
9700,3238,20
9800,3431,20
9900,3446,20
10000,3562,20
