Size,TimeMicroseconds,Threshold
10000,2289,5
500,92,5
600,109,5
700,135,5
800,171,5
900,194,5
1000,191,5
1100,219,5
1200,247,5
1300,334,5
1400,291,5
1500,360,5
1600,386,5
1700,412,5
1800,485,5
1900,442,5
2000,460,5
2100,539,5
2200,460,5
2300,464,5
2400,555,5
2500,381,5
2600,542,5
2700,571,5
2800,596,5
2900,662,5
3000,735,5
3100,778,5
3200,1017,5
3300,825,5
3400,785,5
3500,853,5
3600,822,5
3700,1158,5
3800,868,5
3900,903,5
4000,893,5
4100,958,5
4200,980,5
4300,1034,5
4400,967,5
4500,1048,5
4600,1009,5
4700,1234,5
4800,1043,5
4900,1160,5
5000,1091,5
5100,1144,5
5200,1361,5
5300,1170,5
5400,1687,5
5500,1291,5
5600,1321,5
5700,1419,5
5800,1490,5
5900,1341,5
6000,1483,5
6100,1418,5
6200,1694,5
6300,1804,5
6400,1710,5
6500,1666,5
6600,1633,5
6700,1671,5
6800,1712,5
6900,1689,5
7000,1558,5
7100,1732,5
7200,1729,5
7300,1730,5
7400,1781,5
7500,1777,5
7600,1808,5
7700,1722,5
7800,1756,5
7900,1966,5
8000,1720,5
8100,1826,5
8200,1722,5
8300,1948,5
8400,1920,5
8500,1591,5
8600,1888,5
8700,2047,5
8800,2147,5
8900,2058,5
9000,2098,5
9100,2132,5
9200,2130,5
9300,2145,5
9400,2101,5
9500,2181,5
9600,2115,5
9700,2339,5
9800,1804,5
9900,2275,5
10000,2096,5
