Size,TimeMicroseconds,Threshold
10000,3074,100
500,126,100
600,186,100
700,220,100
800,247,100
900,279,100
1000,319,100
1100,345,100
1200,376,100
1300,512,100
1400,440,100
1500,731,100
1600,759,100
1700,542,100
1800,598,100
1900,603,100
2000,784,100
2100,666,100
2200,699,100
2300,1099,100
2400,763,100
2500,1199,100
2600,825,100
2700,855,100
2800,1126,100
2900,1151,100
3000,784,100
3100,1512,100
3200,1081,100
3300,1288,100
3400,1385,100
3500,1654,100
3600,1166,100
3700,1210,100
3800,1217,100
3900,1261,100
4000,1301,100
4100,1675,100
4200,1300,100
4300,1337,100
4400,1433,100
4500,1459,100
4600,1875,100
4700,1520,100
4800,1928,100
4900,1596,100
5000,1554,100
5100,1573,100
5200,1671,100
5300,1736,100
5400,2415,100
5500,1761,100
5600,1810,100
5700,1883,100
5800,1806,100
5900,1576,100
6000,1977,100
6100,1915,100
6200,2022,100
6300,2008,100
6400,2070,100
6500,2154,100
6600,1984,100
6700,2049,100
6800,2052,100
6900,2053,100
7000,2285,100
7100,3061,100
7200,2954,100
7300,2289,100
7400,2973,100
7500,2331,100
7600,2340,100
7700,2347,100
7800,2295,100
7900,2499,100
8000,2333,100
8100,2416,100
8200,2704,100
8300,3694,100
8400,2599,100
8500,2628,100
8600,2524,100
8700,2664,100
8800,2547,100
8900,3615,100
9000,2644,100
9100,2760,100
9200,2751,100
9300,2960,100
9400,2841,100
9500,2866,100
9600,2806,100
9700,2918,100
9800,3043,100
9900,2983,100
10000,3004,100
