Scale, N, Approximate Area, Relative Deviation
1, 73600, 0.949625, 0.00540837
1, 74100, 0.916977, 0.0291578
1, 74600, 0.948364, 0.00407319
1, 75100, 0.941791, 0.00288583
1, 75600, 0.964626, 0.0212903
1, 76100, 0.946663, 0.00227149
1, 76600, 0.937183, 0.00776454
1, 77100, 0.946616, 0.00222184
1, 77600, 0.947783, 0.00345762
1, 78100, 0.948935, 0.00467758
1, 78600, 0.938817, 0.00603508
1, 79100, 0.959062, 0.0153995
1, 79600, 0.948763, 0.00449545
1, 80100, 0.959591, 0.0159589
1, 80600, 0.929152, 0.0162683
1, 81100, 0.9263, 0.0192871
1, 81600, 0.952317, 0.00825754
1, 82100, 0.938228, 0.00665908
1, 82600, 0.955618, 0.0117526
1, 83100, 0.951506, 0.00739914
1, 83600, 0.962445, 0.0189809
1, 84100, 0.953139, 0.00912854
1, 84600, 0.944978, 0.000487697
1, 85100, 0.933371, 0.0118012
1, 85600, 0.949271, 0.00503324
1, 86100, 0.938903, 0.00594382
1, 86600, 0.930563, 0.0147735
1, 87100, 0.957591, 0.0138421
1, 87600, 0.954123, 0.0101704
1, 88100, 0.946943, 0.00256795
1, 88600, 0.957839, 0.0141042
1, 89100, 0.951264, 0.00714265
1, 89600, 0.941615, 0.00307276
1, 90100, 0.956568, 0.0127582
1, 90600, 0.953005, 0.00898683
1, 91100, 0.934862, 0.0102226
1, 91600, 0.939311, 0.00551183
1, 92100, 0.956168, 0.0123356
1, 92600, 0.949956, 0.00575785
1, 93100, 0.948613, 0.00433655
1, 93600, 0.968474, 0.0253644
1, 94100, 0.955063, 0.0111653
1, 94600, 0.94354, 0.00103407
1, 95100, 0.947065, 0.00269732
1, 95600, 0.963976, 0.0206021
1, 96100, 0.951879, 0.00779432
1, 96600, 0.942725, 0.00189733
1, 97100, 0.962201, 0.0187227
1, 97600, 0.928584, 0.0168696
1, 98100, 0.943077, 0.00152487
1, 98600, 0.958409, 0.0147082
1, 99100, 0.931304, 0.0139892
1, 99600, 0.953179, 0.00917094
1.15, 100, 1.41433, 0.497408
1.15, 600, 0.900027, 0.0471039
1.15, 1100, 0.946781, 0.00239719
1.15, 1600, 0.916099, 0.0300879
1.15, 2100, 0.979621, 0.0371658
1.15, 2600, 0.949479, 0.00525302
1.15, 3100, 0.854403, 0.0954074
1.15, 3600, 0.885741, 0.0622292
1.15, 4100, 0.896891, 0.0504241
1.15, 4600, 1.01183, 0.0712683
1.15, 5100, 0.912632, 0.033758
1.15, 5600, 0.934467, 0.010641
1.15, 6100, 0.935859, 0.00916659
1.15, 6600, 0.966262, 0.0230226
1.15, 7100, 0.963409, 0.0200015
1.15, 7600, 0.966006, 0.0227513
1.15, 8100, 0.92225, 0.0235756
1.15, 8600, 0.906007, 0.0407724
1.15, 9100, 0.919808, 0.0261611
1.15, 9600, 0.917438, 0.0286699
1.15, 10100, 0.944583, 6.91667e-05
1.15, 10600, 0.92186, 0.0239878
1.15, 11100, 0.942885, 0.0017279
1.15, 11600, 0.965423, 0.0221336
1.15, 12100, 0.961658, 0.0181475
1.15, 12600, 0.958192, 0.0144778
1.15, 13100, 0.946157, 0.00173591
1.15, 13600, 0.950133, 0.00594598
1.15, 14100, 0.973889, 0.0310973
1.15, 14600, 0.953747, 0.0097715
1.15, 15100, 0.928977, 0.0164526
1.15, 15600, 0.944534, 1.73282e-05
1.15, 16100, 0.899228, 0.0479494
1.15, 16600, 0.915518, 0.0307029
1.15, 17100, 0.939126, 0.00570825
1.15, 17600, 0.941668, 0.00301699
1.15, 18100, 0.939097, 0.00573904
1.15, 18600, 0.958784, 0.0151051
1.15, 19100, 0.918875, 0.027148
1.15, 19600, 0.956442, 0.0126257
