Size,TimeMicroseconds,Threshold
10000,1533,50
500,68,50
600,77,50
700,98,50
800,159,50
900,135,50
1000,127,50
1100,168,50
1200,131,50
1300,217,50
1400,211,50
1500,231,50
1600,376,50
1700,203,50
1800,216,50
1900,235,50
2000,255,50
2100,275,50
2200,295,50
2300,318,50
2400,340,50
2500,363,50
2600,469,50
2700,404,50
2800,426,50
2900,544,50
3000,484,50
3100,622,50
3200,632,50
3300,433,50
3400,513,50
3500,356,50
3600,452,50
3700,722,50
3800,751,50
3900,628,50
4000,534,50
4100,558,50
4200,571,50
4300,595,50
4400,612,50
4500,938,50
4600,654,50
4700,679,50
4800,699,50
4900,728,50
5000,758,50
5100,783,50
5200,796,50
5300,830,50
5400,836,50
5500,880,50
5600,892,50
5700,913,50
5800,963,50
5900,969,50
6000,998,50
6100,1026,50
6200,1042,50
6300,1070,50
6400,1106,50
6500,901,50
6600,853,50
6700,872,50
6800,884,50
6900,907,50
7000,933,50
7100,937,50
7200,958,50
7300,960,50
7400,1203,50
7500,1242,50
7600,1249,50
7700,1189,50
7800,1309,50
7900,1099,50
8000,1119,50
8100,1115,50
8200,1161,50
8300,1180,50
8400,1198,50
8500,1222,50
8600,1265,50
8700,1546,50
8800,1283,50
8900,1570,50
9000,1799,50
9100,1364,50
9200,1483,50
9300,1273,50
9400,1423,50
9500,1440,50
9600,1464,50
9700,1485,50
9800,1528,50
9900,1436,50
10000,1884,50
