Size,TimeMicroseconds,Threshold
10000,3447,50
500,198,50
600,214,50
700,241,50
800,276,50
900,314,50
1000,418,50
1100,455,50
1200,504,50
1300,558,50
1400,593,50
1500,536,50
1600,580,50
1700,611,50
1800,641,50
1900,679,50
2000,846,50
2100,763,50
2200,847,50
2300,978,50
2400,1190,50
2500,998,50
2600,954,50
2700,1378,50
2800,1021,50
2900,1195,50
3000,1298,50
3100,1146,50
3200,1166,50
3300,1494,50
3400,1332,50
3500,1512,50
3600,1266,50
3700,1366,50
3800,1421,50
3900,1330,50
4000,1496,50
4100,2048,50
4200,1969,50
4300,1634,50
4400,1599,50
4500,2281,50
4600,1641,50
4700,1627,50
4800,1814,50
4900,2151,50
5000,1784,50
5100,1795,50
5200,1956,50
5300,2684,50
5400,2058,50
5500,1999,50
5600,2099,50
5700,2579,50
5800,2027,50
5900,2202,50
6000,2783,50
6100,2101,50
6200,3031,50
6300,2225,50
6400,2460,50
6500,3192,50
6600,2365,50
6700,2370,50
6800,2377,50
6900,2367,50
7000,2512,50
7100,2631,50
7200,2689,50
7300,3253,50
7400,2669,50
7500,2554,50
7600,2669,50
7700,2792,50
7800,2952,50
7900,3537,50
8000,2630,50
8100,2961,50
8200,3016,50
8300,3715,50
8400,2968,50
8500,2968,50
8600,2844,50
8700,3095,50
8800,2943,50
8900,3053,50
9000,3122,50
9100,3906,50
9200,4201,50
9300,4194,50
9400,4231,50
9500,3276,50
9600,3357,50
9700,4399,50
9800,3484,50
9900,3589,50
10000,3567,50
