Size,TimeMicroseconds,Threshold
10000,2883,30
500,133,30
600,211,30
700,246,30
800,221,30
900,339,30
1000,279,30
1100,303,30
1200,332,30
1300,386,30
1400,391,30
1500,421,30
1600,445,30
1700,474,30
1800,506,30
1900,529,30
2000,556,30
2100,587,30
2200,615,30
2300,624,30
2400,670,30
2500,697,30
2600,727,30
2700,760,30
2800,789,30
2900,824,30
3000,860,30
3100,889,30
3200,918,30
3300,976,30
3400,957,30
3500,988,30
3600,1348,30
3700,1050,30
3800,1066,30
3900,1098,30
4000,1128,30
4100,1729,30
4200,1751,30
4300,1221,30
4400,1254,30
4500,1877,30
4600,1683,30
4700,1342,30
4800,1366,30
4900,1395,30
5000,1431,30
5100,1471,30
5200,1481,30
5300,1527,30
5400,1553,30
5500,1579,30
5600,1635,30
5700,1621,30
5800,1727,30
5900,1662,30
6000,2565,30
6100,1769,30
6200,1736,30
6300,1855,30
6400,1887,30
6500,1888,30
6600,1887,30
6700,1958,30
6800,1898,30
6900,1921,30
7000,2036,30
7100,2845,30
7200,1891,30
7300,1893,30
7400,2083,30
7500,2162,30
7600,2163,30
7700,2185,30
7800,2079,30
7900,2175,30
8000,2313,30
8100,2220,30
8200,3369,30
8300,3508,30
8400,2262,30
8500,2370,30
8600,2218,30
8700,2388,30
8800,2461,30
8900,3616,30
9000,2522,30
9100,2470,30
9200,2489,30
9300,2351,30
9400,3763,30
9500,2764,30
9600,2551,30
9700,2592,30
9800,3947,30
9900,2574,30
10000,2648,30
