Size,TimeMicroseconds,Threshold
10000,3109,30
500,151,30
600,273,30
700,212,30
800,302,30
900,281,30
1000,374,30
1100,341,30
1200,376,30
1300,414,30
1400,541,30
1500,464,30
1600,506,30
1700,534,30
1800,570,30
1900,598,30
2000,630,30
2100,665,30
2200,953,30
2300,740,30
2400,764,30
2500,1213,30
2600,833,30
2700,850,30
2800,890,30
2900,1134,30
3000,966,30
3100,981,30
3200,1049,30
3300,1305,30
3400,1083,30
3500,1744,30
3600,1159,30
3700,1192,30
3800,1224,30
3900,1250,30
4000,1291,30
4100,1315,30
4200,1363,30
4300,1389,30
4400,1434,30
4500,1465,30
4600,1461,30
4700,1522,30
4800,1552,30
4900,1583,30
5000,1625,30
5100,1648,30
5200,1589,30
5300,1734,30
5400,1729,30
5500,1815,30
5600,1715,30
5700,1838,30
5800,1859,30
5900,1954,30
6000,1974,30
6100,2019,30
6200,1963,30
6300,2068,30
6400,2127,30
6500,2028,30
6600,2113,30
6700,2167,30
6800,2143,30
6900,2029,30
7000,2391,30
7100,2272,30
7200,2382,30
7300,2279,30
7400,2261,30
7500,2405,30
7600,2308,30
7700,2546,30
7800,3819,30
7900,2420,30
8000,2366,30
8100,2496,30
8200,3732,30
8300,2515,30
8400,2457,30
8500,2478,30
8600,2737,30
8700,2597,30
8800,3619,30
8900,2690,30
9000,2839,30
9100,2806,30
9200,2860,30
9300,2987,30
9400,2879,30
9500,2916,30
9600,2804,30
9700,2994,30
9800,2899,30
9900,3203,30
10000,2997,30
