Size,TimeMicroseconds,Threshold
10000,1273,30
500,47,30
600,58,30
700,72,30
800,107,30
900,103,30
1000,151,30
1100,112,30
1200,127,30
1300,141,30
1400,155,30
1500,169,30
1600,183,30
1700,201,30
1800,217,30
1900,233,30
2000,211,30
2100,222,30
2200,243,30
2300,251,30
2400,262,30
2500,279,30
2600,293,30
2700,308,30
2800,323,30
2900,341,30
3000,354,30
3100,295,30
3200,490,30
3300,406,30
3400,416,30
3500,437,30
3600,458,30
3700,480,30
3800,493,30
3900,469,30
4000,449,30
4100,463,30
4200,485,30
4300,507,30
4400,504,30
4500,523,30
4600,533,30
4700,544,30
4800,563,30
4900,572,30
5000,589,30
5100,605,30
5200,620,30
5300,648,30
5400,653,30
5500,671,30
5600,853,30
5700,705,30
5800,732,30
5900,731,30
6000,752,30
6100,769,30
6200,784,30
6300,799,30
6400,819,30
6500,838,30
6600,856,30
6700,873,30
6800,899,30
6900,907,30
7000,929,30
7100,942,30
7200,956,30
7300,980,30
7400,995,30
7500,1487,30
7600,1045,30
7700,1048,30
7800,1004,30
7900,1360,30
8000,1180,30
8100,792,30
8200,1213,30
8300,1003,30
8400,1017,30
8500,1045,30
8600,1040,30
8700,1053,30
8800,1113,30
8900,1109,30
9000,1113,30
9100,1134,30
9200,1140,30
9300,1151,30
9400,1182,30
9500,1194,30
9600,1195,30
9700,1815,30
9800,1231,30
9900,1295,30
10000,1259,30
