Size,TimeMicroseconds,Threshold
10000,2016,100
500,73,100
600,90,100
700,109,100
800,132,100
900,128,100
1000,144,100
1100,173,100
1200,191,100
1300,223,100
1400,245,100
1500,299,100
1600,337,100
1700,274,100
1800,286,100
1900,299,100
2000,318,100
2100,354,100
2200,370,100
2300,402,100
2400,420,100
2500,450,100
2600,546,100
2700,503,100
2800,624,100
2900,611,100
3000,585,100
3100,676,100
3200,658,100
3300,617,100
3400,506,100
3500,645,100
3600,625,100
3700,629,100
3800,647,100
3900,677,100
4000,708,100
4100,741,100
4200,855,100
4300,795,100
4400,812,100
4500,827,100
4600,864,100
4700,890,100
4800,902,100
4900,957,100
5000,1053,100
5100,1266,100
5200,1025,100
5300,1065,100
5400,1089,100
5500,1106,100
5600,1132,100
5700,1281,100
5800,1198,100
5900,1249,100
6000,1266,100
6100,1292,100
6200,1343,100
6300,1359,100
6400,1136,100
6500,1180,100
6600,1200,100
6700,1147,100
6800,1243,100
6900,1281,100
7000,1284,100
7100,1282,100
7200,1349,100
7300,1641,100
7400,1389,100
7500,1422,100
7600,1459,100
7700,1485,100
7800,1502,100
7900,1519,100
8000,1621,100
8100,1661,100
8200,1591,100
8300,1698,100
8400,1730,100
8500,1581,100
8600,1694,100
8700,1663,100
8800,2154,100
8900,1889,100
9000,1905,100
9100,1747,100
9200,2013,100
9300,1896,100
9400,2220,100
9500,1857,100
9600,2258,100
9700,1894,100
9800,2364,100
9900,2023,100
10000,1972,100
