Size,TimeMicroseconds,Threshold
10000,3497,5
500,218,5
600,208,5
700,243,5
800,296,5
900,313,5
1000,427,5
1100,495,5
1200,495,5
1300,539,5
1400,567,5
1500,562,5
1600,623,5
1700,494,5
1800,528,5
1900,972,5
2000,710,5
2100,890,5
2200,983,5
2300,841,5
2400,887,5
2500,780,5
2600,959,5
2700,997,5
2800,1031,5
2900,1084,5
3000,1115,5
3100,1167,5
3200,1298,5
3300,1233,5
3400,1739,5
3500,1327,5
3600,1354,5
3700,1619,5
3800,1837,5
3900,1476,5
4000,1465,5
4100,1823,5
4200,1852,5
4300,1882,5
4400,1619,5
4500,1573,5
4600,1741,5
4700,1827,5
4800,1838,5
4900,2460,5
5000,1913,5
5100,2583,5
5200,1876,5
5300,2307,5
5400,1903,5
5500,2021,5
5600,2113,5
5700,2531,5
5800,2129,5
5900,2032,5
6000,2053,5
6100,2745,5
6200,2447,5
6300,2531,5
6400,2296,5
6500,2911,5
6600,2351,5
6700,2576,5
6800,2549,5
6900,2480,5
7000,2488,5
7100,2449,5
7200,2658,5
7300,2695,5
7400,2581,5
7500,2584,5
7600,3763,5
7700,2739,5
7800,2853,5
7900,2703,5
8000,2726,5
8100,2994,5
8200,2782,5
8300,3055,5
8400,2973,5
8500,2664,5
8600,2967,5
8700,4347,5
8800,4314,5
8900,3219,5
9000,3152,5
9100,4367,5
9200,3070,5
9300,3413,5
9400,3380,5
9500,3245,5
9600,4335,5
9700,4725,5
9800,3249,5
9900,3649,5
10000,3582,5
